,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
262,EZL,EUROZ LIMITED,6/30/2017,41.0,Diversified Financials,8.290642969158391
263,ED1,EVANS DIXON LIMITED,6/30/2018,39.0,Diversified Financials,0.0
264,EVE,EVE INVESTMENTS LIMITED,6/30/2017,4800.0,Diversified Financials,51.00817438692095
265,EVN,EVOLUTION MINING LIMITED,6/30/2016,100.0,Materials,12.547275054864668
266,EVO,EVOLVE EDUCATION GROUP LIMITED,3/31/2016,248.0,Consumer Services,-4.030460008288438
267,EXP,EXPERIENCE CO LIMITED,6/30/2016,122.0,Consumer Services,32.15021129466001
268,FTT,FACTOR THERAPEUTICS LIMITED,6/30/2017,803.9999999999999,"Pharmaceuticals, Biotechnology & Life Sciences",-24.120281509916833
269,FFC,FARMAFORCE LIMITED,6/30/2016,453.0,Health Care Equipment & Services,-29.225874867444332
270,FBR,FASTBRICK ROBOTICS LTD,6/30/2016,31.0,Capital Goods,181.3015332197616
271,FFG,FATFISH INTERNET GROUP LTD,12/31/2016,366.0,Diversified Financials,-29.337816864976713
272,FEI,FE INVESTMENTS GROUP LIMITED,3/31/2016,56.00000000000001,Technology Hardware & Equipment,-64.95312930796801
273,FTZ,FERTOZ LIMITED,6/30/2015,20355.0,Materials,-29.980735551663756
274,FID,FIDUCIAN GROUP LIMITED,6/30/2016,35.0,Diversified Financials,61.44133962002496
275,FSG,FIELD SOLUTIONS HOLDINGS LIMITED,6/30/2016,70.0,Telecommunication Services,-13.979710144927555
276,FND,FINDERS RESOURCES LIMITED,12/31/2016,1118.0,Materials,28.86724565756824
277,FTC,FINTECH CHAIN LIMITED,3/31/2018,63.0,Software & Services,0.0
278,FAU,FIRST AU LIMITED,12/31/2016,6743.000000000001,Materials,3.9875695125940447
279,FGF,FIRST GROWTH FUNDS LIMITED,6/30/2016,261.0,Not Applic,-4.9532710280373795
280,FCT,FIRSTWAVE CLOUD TECHNOLOGY LIMITED,6/30/2016,37.0,Software & Services,-56.199886299033544
281,FGO,FLAMINGO AI LIMITED,6/30/2017,196.0,Software & Services,-12.55105829929447
282,FRX,FLEXIROAM LIMITED,3/31/2016,70.0,Telecommunication Services,-37.778546712802765
283,FLK,FOLKESTONE LIMITED,6/30/2017,263.0,Real Estate,6.675824175824176
284,FNP,FREEDOM FOODS GROUP LIMITED,6/30/2016,86.0,"Food, Beverage & Tobacco",6.15305334846765
285,FIG,FREEDOM INSURANCE GROUP LTD,6/30/2017,86.0,Insurance,-42.06247442368025
286,FLN,FREELANCER LIMITED,12/31/2015,48.0,Software & Services,13.665865745607448
287,FPL,FREMONT PETROLEUM CORPORATION LIMITED,6/30/2015,67.0,Energy,-65.11457731561717
288,FNT,FRONTIER RESOURCES LIMITED,6/30/2016,1362.0,Materials,-13.874345549738223
289,FGX,FUTURE GENERATION INVESTMENT COMPANY LIMITED,12/31/2017,80.0,Not Applic,12.467306015693111
290,GEM,G8 EDUCATION LIMITED,12/31/2015,42.0,Consumer Services,0.2783494105037514
291,GCM,GARDA CAPITAL GROUP,6/30/2017,31.0,Not Applic,20.946110295659466
292,GGX,GAS2GRID LIMITED,6/30/2015,1381.0,Energy,-44.320557491289165
293,GCY,GASCOYNE RESOURCES LIMITED,6/30/2015,63.0,Materials,422.0207468879669
294,GTY,GATEWAY LIFESTYLE GROUP,6/30/2015,242.0,Real Estate,4.617556123134831
295,GDI,GDI PROPERTY GROUP,6/30/2015,41.0,Real Estate,2.0551247118004614
